# id, cityname, citycode, airportname, airportcode
8962,Caro,TZC,Tuscola Area,TZC
8963,Catalao,TLZ,Catalao,TLZ
8964,Cheadle,TIL,Cheadle,TIL
8965,Chokwe,TGS,Chokwe,TGS
8966,Chuuk,TKK,International,TKK
8967,Daegu,TAE,International,TAE
8968,Dashoguz,TAZ,Dashoguz,TAZ
8969,Dawei,TVY,Dawei,TVY
8970,Fort Leonard Wood,TBN,Waynesvl-St Robert Rgn,TBN
8971,Huangshan,TXN,Tunxi Intl,TXN
8972,Jinan,TNA,Yaoqiang Intl,TNA
8973,Kigoma,TKQ,Kigoma,TKQ
8974,King George Island,TNM,Tte. R. Marsh Martin,TNM
8975,Knoxville,TYS,McGhee Tyson,TYS
8976,Kuala Terengganu,TGG,Sultan Mahmud,TGG
8977,Kulob,TJU,Kulob,TJU
8978,Madrid,MAD,Torrejon,TOJ
8979,Mexico City,MEX,Toluca-A.Lopez Mateos,TLC
8980,Miami,MIA,Miami Executive,TMB
8981,Miami,MIA,Dade-Collier T&T Apt,TNT
8982,Morafenobe,TVA,Morafenobe,TVA
8983,Mount Cook,MON,Pukaki (Twizel),TWZ
8984,Nanuya Levu,TTL,Turtle Island SPB,TTL
8985,Newton,TNU,Municipal,TNU
8986,Nuku\alofa,TBU,Fua\amotu Intl,TBU
8987,Oklahoma City,OKC,Tinker AFB,TIK
8988,Oran,ORN,Tafaraoui,TAF
8989,Oslo,OSL,Sandefjord-Torp,TRF
8990,Philadelphia,PHL,Trenton-Mercer,TTN
8991,Pituffik,THU,Thule Air Base,THU
8992,Plastun,TLY,Plastun,TLY
8993,Podgorica,TGD,Podgorica,TGD
8994,Poprad,TAT,Tatry,TAT
8995,Port Townsend,TWD,Jefferson County Intl,TWD
8996,Portland,PDX,Troutdale,TTD
8997,Qingdao,TAO,Liuting Intl,TAO
8998,Ramadan City,TFR,Wadi al Jandali,TFR
8999,Rizal,TGB,Tagbita,TGB
9000,San Vito,TOO,San Vito,TOO
9001,Sao Tome,TMS,International,TMS
9002,Sasereme,TDS,Sasereme,TDS
9003,Satna,TNI,Satna,TNI
9004,Singapore,SIN,Tengah,TGA
9005,South Andros,TZN,Congo Town,TZN
9006,South Lake Tahoe,TVL,Lake Tahoe,TVL
9007,Staniel Cay,TYM,Staniel Cay,TYM
9008,Statesboro,TBR,Bulloch County,TBR
9009,StungTreng,TNX,StungTreng,TNX
9010,Sukhothai,THS,Sukhothai,THS
9011,Taba,TCP,International,TCP
9012,Tabal Island,TBV,Tabal Island,TBV
9013,Tabarka,TBJ,Ain Draham,TBJ
9014,Tabas,TCX,Tabas,TCX
9015,Tabatinga,TBT,International,TBT
9016,Tabibuga,TBA,Tabibuga,TBA
9017,Tabiteuea North,TBF,Tabiteuea North,TBF
9018,Tabiteuea South,TSU,Tabiteuea South,TSU
9019,Tablas Island,TBH,Tugdan,TBH
9020,Tablelands,TBL,Tableland Homestead,TBL
9021,Tablon de Tamara,TTM,Tablon de Tamara,TTM
9022,Tabora,TBO,Tabora,TBO
9023,Tabou,TXU,Tabou,TXU
9024,Tabriz,TBZ,International,TBZ
9025,Tabuaeran,TNV,Tabuaeran,TNV
9026,Tabubil,TBG,Tabubil,TBG
9027,Tabuk,TUU,Tabuk,TUU
9028,Tacheng,TCG,Tacheng,TCG
9029,Tachilek,THL,Tachilek,THL
9030,Tacloban,TAC,D.Z. Romualdez,TAC
9031,Tacna,TCQ,C.Ciriani Santa Rosa,TCQ
9032,Tacoma,TIW,Gray AAF,GRF
9033,Tacoma,TIW,McChord Field,TCM
9034,Tacoma,TIW,Tacoma Narrows,TIW
9035,Tacuarembo,TAW,Tacuarembo,TAW
9036,Tadjoura,TDJ,Tadjoura,TDJ
9037,Taftan,TFT,Taftan,TFT
9038,Taganrog,TGK,Taganrog,TGK
9039,Tagbilaran,TAG,Tagbilaran,TAG
9040,Tagula,TGL,Tagula,TGL
9041,Taharoa,THH,Taharoa,THH
9042,Tahoua,THZ,Tahoua,THZ
9043,Taif,TIF,Taif,TIF
9044,Tainan,TNN,Tainan,TNN
9045,Taipei,TPE,Taiwan Taoyuan Int\l,TPE
9046,Taipei,TPE,Songshan,TSA
9047,Taiping,TPG,Taiping,TPG
9048,Taisha,TSC,Taisha,TSC
9049,Taitung,TTT,Fongnian,TTT
9050,Taiyuan,TYN,Wusu Intl,TYN
9051,Taizz,TAI,International,TAI
9052,Tak,TKT,Tak,TKT
9053,Takamatsu,TAK,Takamatsu,TAK
9054,Takapoto,TKP,Takapoto,TKP
9055,Takaroa,TKX,Takaroa,TKX
9056,Takengon,TXE,Rembele,TXE
9057,Takhli,TKH,Takhli,TKH
9058,Takoradi,TKD,Takoradi,TKD
9059,Takotna,TCT,Takotna,TCT
9060,Taku Lodge,TKL,Sea Plane Base,TKL
9061,Takume,TJN,Takume,TJN
9062,Talakan,TLK,Talakan,TLK
9063,Talara,TYL,Victor Monteas Arias,TYL
9064,Talasea,TLW,Talasea,TLW
9065,Talca,TLX,Panguilemo,TLX
9066,Taldykorgan,TDK,Taldykorgan,TDK
9067,Taliabu,TAX,Taliabu,TAX
9068,Talkeetna,TKA,Talkeetna,TKA
9069,Tallahassee,TLH,International,TLH
9070,Tallinn,TLL,Lennart Meri,TLL
9071,Taloqan,TQN,Taloqan,TQN
9072,Taltal,TTC,Las Breas,TTC
9073,Tam Ky,TMK,Tam Ky,TMK
9074,Tamale,TML,Tamale,TML
9075,Tamana,TMN,Tamana,TMN
9076,Tamanrasset,TMR,Aguenar,TMR
9077,Tamarindo,TNO,Tamarindo,TNO
9078,Tambacounda,TUD,Tambacounda,TUD
9079,Tambao,TMQ,Tambao,TMQ
9080,Tambolaka,TMC,Waikabubak,TMC
9081,Tambor,TMU,Tambor,TMU
9082,Tambov,TBW,Donskoye,TBW
9083,Tamchakett,THT,Tamchakett,THT
9084,Tame,TME,Gabriel Vargas Santos,TME
9085,Tampa,TPA,Clearwater Air Park,CLW
9086,Tampa,TPA,North Aero Park,KYO
9087,Tampa,TPA,MacDill AFB,MCF
9088,Tampa,TPA,St.Pete-Clearwater Int,PIE
9089,Tampa,TPA,St Pete-Albert Whitted,SPG
9090,Tampa,TPA,International,TPA
9091,Tampa,TPA,Peter O. Knight,TPF
9092,Tampere,TMP,Tampere-Pirkkala,TMP
9093,Tampico,TAM,F. Javier Mina Intl,TAM
9094,Tamuin,TSL,Tamuin,TSL
9095,Tamworth,TMW,Tamworth,TMW
9096,Tana Toraja,TTR,Pongtiku,TTR
